API,Formation,Operator,FirstProdDate,Latitude,Longitude,TVD_FT,PLL,GORi
4900559547,PARKMAN,BALLARD PETROLEUM,1/1/2009,44.1056765,-105.6584945,7230,4486.709586, 200 
4900559964,PARKMAN,TRUE COMPANIES,7/1/2009,44.1122075,-105.7416145,11208,2906.03446, 200 
4900560886,TURNER-FRONTIER,EOG,11/1/2011,43.5113065,-105.4679735,10199,2497.08451," 6,712 "
4900561171,PARKMAN,DEVON,10/1/2011,43.798177,-105.6945215,12075,4362.331985, 296 
4900561192,TEAPOT,DEVON,8/1/2011,43.7690075,-105.574139,7358,4595.447486, 214 
4900561202,NIOBRARA,DEVON,9/1/2011,43.789131,-105.5324345,14259,4109.143316, 405 
4900561211,NIOBRARA,EMEP II OPERATING LLC,10/1/2011,43.7612645,-105.4080825,9064,3803.507776," 1,326 "
4900561315,NIOBRARA,EOG,2/1/2012,43.498882,-105.448276,10080,2825.596941," 6,460 "
4900561343,TURNER-FRONTIER,EMEP II OPERATING LLC,3/1/2012,43.7745185,-105.390526,9016,4001.493146," 1,310 "
4900561485,TURNER-FRONTIER,BALLARD PETROLEUM,12/1/2012,43.628257,-105.5552475,10597,3525.794211," 1,589 "
4900561502,TURNER-FRONTIER,EOG,9/1/2012,43.758592,-105.7300625,10765,4464.425035, 488 
4900561585,NIOBRARA,DEVON,11/1/2012,43.7733915,-105.6662445,10256,4083.502258, 244 
4900561656,SHANNON,CONTINENTAL RESOURCES,4/1/2014,43.6853285,-106.000653,9983,4052.344831, 269 
4900561667,SHANNON,PEAK POWDER RIVER RESOURCES LLC,8/1/2013,43.684819,-105.7738685,10585,3914.007216, 438 
4900561689,PARKMAN,CITATION OIL & GAS,7/1/2013,43.8672595,-105.7789095,8017,2906.109713, 200 
4900561690,PARKMAN,CITATION OIL & GAS,5/1/2013,43.8751795,-105.7769995,7890,3057.154458, 200 
4900561724,TURNER-FRONTIER,LOIL OIL LLC,11/1/2017,43.6119935,-105.752957,11658,4460.559013," 3,564 "
4900561795,NIOBRARA,DEVON,7/1/2013,43.7887465,-105.6922695,14837,4278.311994, 339 
4900561827,TURNER-FRONTIER,EOG,7/1/2016,43.583367,-105.5662935,10612,4096.456262," 4,525 "
4900561832,SHANNON,CONTINENTAL RESOURCES,2/1/2014,43.664262,-105.9614145,9976,9569.078999, 200 
4900561834,SHANNON,CONTINENTAL RESOURCES,2/1/2014,43.6568865,-105.972177,10088,5010.658906, 200 
4900561869,NIOBRARA,EOG,8/1/2013,43.789329,-105.5079785,9507,4586.203181, 931 
4900561895,NIOBRARA,PEAK POWDER RIVER RESOURCES LLC,7/1/2014,43.6550245,-105.717248,11213,3246.804682, 783 
4900561934,TURNER-FRONTIER,PEAK POWDER RIVER RESOURCES LLC,1/1/2015,43.5975385,-105.7894795,11735,3933.334107," 3,333 "
4900561998,TURNER-FRONTIER,PEAK POWDER RIVER RESOURCES LLC,4/1/2014,43.685079,-105.636701,11583,3803.489109, 816 
4900562015,NIOBRARA,EMEP II OPERATING LLC,10/1/2013,43.818869,-105.376501,8764,4573.5576, 935 
4900562045,NIOBRARA,CENERGY RESOURCES LLC,1/1/2014,43.4978205,-105.4260335,10016,9767.628861," 6,677 "
4900562071,MOWRY,PEAK POWDER RIVER RESOURCES LLC,6/1/2015,43.610823,-105.7433425,12338,2077.440646," 3,460 "
4900562079,NIOBRARA,EOG,3/1/2015,43.583829,-105.750327,11948,4621.658607," 4,247 "
4900562103,MOWRY,PEAK POWDER RIVER RESOURCES LLC,8/1/2015,43.64117,-105.7071265,12117,3891.974044," 1,895 "
4900562118,TURNER-FRONTIER,DEVON,3/1/2014,43.758121,-105.652597,10295,4073.892961, 540 
4900562140,PARKMAN,EOG,4/1/2014,43.6576215,-105.550551,7433,4315.474746, 763 
4900562153,NIOBRARA,DEVON,8/1/2014,43.700564,-105.5372335,14450,4031.554101," 1,182 "
4900562170,PARKMAN,DEVON,10/1/2015,43.721699,-105.4873045,7027,10053.75019, 470 
4900562202,TURNER-FRONTIER,EOG,2/1/2014,43.6992185,-105.609642,10558,4437.53455, 651 
4900562276,TURNER-FRONTIER,EOG,6/1/2014,43.7437365,-105.6402565,10464,4244.12397, 655 
4900562349,PARKMAN,BALLARD PETROLEUM,9/1/2014,43.6132525,-105.516061,7461,3767.480731, 798 
4900562351,PARKMAN,DEVON,1/1/2016,43.63497,-105.4087415,6793,9518.247163, 251 
4900562374,TURNER-FRONTIER,EOG,9/1/2014,43.699475,-105.6802785,10722,4566.991834, 519 
4900562402,PARKMAN,DEVON,3/1/2015,43.7234185,-105.527994,7270,9772.003777, 314 
4900562406,PARKMAN,DEVON,1/1/2016,43.883993,-105.4473265,6181,9703.035518, 200 
4900562413,PARKMAN,DEVON,2/1/2015,43.722916,-105.53765,7340,9578.643511, 275 
4900562525,TURNER-FRONTIER,BALLARD PETROLEUM,1/1/2015,43.6413985,-105.606798,10679,3954.149377," 1,070 "
4900562527,PARKMAN,BALLARD PETROLEUM,1/1/2015,43.6414625,-105.606971,7772,3951.773765, 831 
4900562617,PARKMAN,DEVON,12/1/2015,43.6723955,-105.49969,7248,4084.9063, 226 
4900562756,PARKMAN,BALLARD PETROLEUM,4/1/2017,43.599391,-105.526672,7506,3983.488735, 388 
4900562767,PARKMAN,BALLARD PETROLEUM,1/1/2023,44.0652255,-105.6489245,6680,11043.54315, 200 
4900562769,PARKMAN,BALLARD PETROLEUM,1/1/2018,44.0779265,-105.651795,6599,8933.499297, 200 
4900562836,TURNER-FRONTIER,PEAK POWDER RIVER RESOURCES LLC,10/1/2015,43.743553,-105.8306825,11432,4351.508943," 1,176 "
4900562942,PARKMAN,EOG,10/1/2016,43.6423365,-105.54619,7494,4219.668296," 1,142 "
4900562943,TURNER-FRONTIER,EOG,2/1/2017,43.6423565,-105.5457985,10366,4129.918953," 1,811 "
4900563239,TURNER-FRONTIER,BALLARD PETROLEUM,2/1/2016,43.626365,-105.658162,11141,4209.591503," 1,471 "
4900928220,SUSSEX,CONTINENTAL RESOURCES,5/1/2010,43.251229,-105.616503,9848,4334.801291, 271 
